passer_player_name,defteam,pass_td,rz_pass_att
A.Rodgers,ATL,1.0,5.0
B.Mayfield,CIN,0.0,4.0
B.Nix,KC,1.0,3.0
B.Purdy,LA,3.0,8.0
B.Young,CHI,3.0,5.0
C.Rush,PIT,1.0,0.0
C.Stroud,BUF,2.0,6.0
C.Ward,NYJ,1.0,3.0
C.Wentz,GB,3.0,6.0
C.Williams,CAR,2.0,5.0
D.Jones,BAL,1.0,3.0
D.Lock,NE,1.0,3.0
D.Maye,SEA,1.0,2.0
D.Prescott,NYG,2.0,5.0
D.Watson,JAX,1.0,3.0
G.Smith,TEN,0.0,1.0
J.Allen,HOU,2.0,6.0
J.Brissett,LAC,1.0,7.0
J.Burrow,TB,1.0,6.0
J.Daniels,PHI,2.0,9.0
J.Dart,DAL,3.0,7.0
J.Goff,NO,2.0,8.0
J.Herbert,ARI,1.0,4.0
J.Hurts,WAS,3.0,3.0
J.Love,MIN,2.0,7.0
K.Cousins,MIA,3.0,8.0
L.Jackson,IND,1.0,4.0
M.Stafford,SF,0.0,2.0
M.Willis,LV,0.0,1.0
P.Mahomes,DEN,2.0,4.0
T.Lawrence,CLE,4.0,2.0
T.Shough,DET,3.0,9.0
