receiver_player_name,defteam,rec_td,rz_targets,goalline_targets,rz_conversion_rate
A.Iosivas,TB,0.0,1.0,1.0,0.0
A.Jeanty,MIA,2.0,4.0,0.0,0.5
A.Pierce,BAL,0.0,1.0,0.0,0.0
A.St. Brown,NO,2.0,4.0,1.0,0.5
A.Williams,PHI,1.0,2.0,1.0,0.5
B.Allen,TEN,0.0,1.0,0.0,0.0
B.Lance,DET,0.0,1.0,1.0,0.0
B.Strange,CLE,1.0,1.0,0.0,1.0
Bi.Robinson,PIT,1.0,0.0,0.0,0.0
C.Brown,TB,0.0,1.0,0.0,0.0
C.Hubbard,CHI,1.0,1.0,1.0,1.0
C.Kmet,CAR,1.0,0.0,0.0,0.0
C.Lamb,NYG,1.0,2.0,1.0,0.5
C.Loveland,CAR,0.0,1.0,0.0,0.0
C.Olave,DET,0.0,1.0,0.0,0.0
C.Otton,CIN,0.0,2.0,0.0,0.0
C.Parkinson,SF,0.0,1.0,0.0,0.0
C.Sutton,KC,0.0,1.0,0.0,0.0
C.Watson,MIN,2.0,1.0,1.0,2.0
D.Boston,JAX,1.0,1.0,0.0,1.0
D.Goedert,WAS,2.0,2.0,0.0,1.0
D.Montgomery,BUF,1.0,1.0,0.0,1.0
D.Moore,HOU,1.0,0.0,0.0,0.0
D.Njoku,ARI,0.0,1.0,0.0,0.0
D.Robinson,LA,1.0,2.0,1.0,0.5
D.Sample,TB,0.0,1.0,0.0,0.0
D.Samuel,LA,1.0,3.0,1.0,0.33333334
D.Singletary,DAL,1.0,2.0,0.0,0.5
D.Smythe,IND,0.0,1.0,0.0,0.0
D.Vele,DET,1.0,1.0,1.0,1.0
D.Wicks,WAS,1.0,1.0,0.0,1.0
E.Ayomanor,NYJ,1.0,2.0,0.0,0.5
E.Engram,KC,1.0,1.0,0.0,1.0
E.Raridon,SEA,1.0,1.0,1.0,1.0
G.Helm,NYJ,0.0,1.0,0.0,0.0
G.Kittle,LA,0.0,1.0,0.0,0.0
I.Likely,DAL,2.0,4.0,1.0,0.5
J.Addison,GB,0.0,1.0,0.0,0.0
J.Bates,PHI,0.0,2.0,1.0,0.0
J.Bech,MIA,1.0,2.0,0.0,0.5
J.Cameron,CLE,1.0,1.0,1.0,1.0
J.Chase,TB,0.0,1.0,0.0,0.0
J.Coker,CHI,2.0,1.0,0.0,2.0
J.Cook,HOU,0.0,1.0,0.0,0.0
J.Ferguson,NYG,0.0,1.0,1.0,0.0
J.Jefferson,GB,2.0,3.0,1.0,0.6666667
J.Johnson,DET,1.0,3.0,0.0,0.33333334
J.Lane,IND,0.0,2.0,1.0,0.0
J.Love,LAC,0.0,1.0,0.0,0.0
J.Meyers,CLE,1.0,0.0,0.0,0.0
J.Palmer,HOU,1.0,0.0,0.0,0.0
J.Reed,MIN,0.0,1.0,0.0,0.0
J.Smith-Njigba,NE,1.0,3.0,0.0,0.33333334
J.Walker,CAR,1.0,1.0,1.0,1.0
J.Warren,ATL,0.0,2.0,0.0,0.0
J.Wayne,BUF,0.0,1.0,0.0,0.0
J.Williams,NO,0.0,1.0,0.0,0.0
J.Williams,NYG,1.0,2.0,0.0,0.5
K.Allen,BAL,0.0,1.0,0.0,0.0
K.Bourne,LAC,0.0,1.0,0.0,0.0
K.Coleman,HOU,0.0,1.0,1.0,0.0
K.Raymond,CAR,0.0,1.0,0.0,0.0
K.Shakir,HOU,0.0,3.0,1.0,0.0
K.Walker,DEN,1.0,1.0,1.0,1.0
L.McConkey,ARI,1.0,2.0,0.0,0.5
M.Andrews,IND,0.0,1.0,0.0,0.0
M.Evans,CHI,0.0,2.0,1.0,0.0
M.Evans,LA,1.0,2.0,1.0,0.5
M.Gesicki,TB,1.0,2.0,2.0,0.5
M.Golden,MIN,0.0,3.0,0.0,0.0
M.Hollins,SEA,0.0,1.0,0.0,0.0
M.Lloyd,MIN,0.0,1.0,0.0,0.0
M.Mayer,MIA,0.0,1.0,0.0,0.0
M.Nabers,DAL,0.0,1.0,0.0,0.0
N.Collins,BUF,1.0,2.0,0.0,0.5
N.Fant,DET,1.0,1.0,0.0,1.0
P.Freiermuth,ATL,1.0,2.0,0.0,0.5
P.Nacua,SF,0.0,1.0,1.0,0.0
P.Washington,CLE,1.0,0.0,0.0,0.0
R.Rice,DEN,1.0,1.0,0.0,1.0
R.White,PHI,0.0,1.0,0.0,0.0
S.Diggs,PHI,1.0,1.0,0.0,1.0
S.LaPorta,NO,0.0,2.0,1.0,0.0
S.Moore,MIN,0.0,1.0,0.0,0.0
T.Allgeier,LAC,0.0,1.0,0.0,0.0
T.Etienne,DET,0.0,2.0,0.0,0.0
T.Hockenson,GB,1.0,2.0,0.0,0.5
T.Johnson,CIN,0.0,1.0,0.0,0.0
T.McBride,LAC,1.0,4.0,1.0,0.25
T.McLaurin,PHI,0.0,1.0,0.0,0.0
T.McMillan,CHI,0.0,1.0,0.0,0.0
T.Tucker,MIA,0.0,1.0,0.0,0.0
T.Warren,BAL,1.0,1.0,0.0,1.0
X.Worthy,DEN,0.0,1.0,0.0,0.0
Z.Flowers,IND,1.0,0.0,0.0,0.0
