rusher_player_name,defteam,rush_td,rz_rush_att,goalline_rush_att,rz_conversion_rate
A.Jeanty,MIA,0.0,3.0,0.0,0.0
A.Jones,GB,1.0,4.0,1.0,0.25
B.Hall,TEN,1.0,4.0,2.0,0.25
B.Irving,CIN,1.0,2.0,0.0,0.5
B.Mayfield,CIN,1.0,3.0,0.0,0.33333334
B.Nix,KC,0.0,1.0,0.0,0.0
B.Young,CHI,1.0,2.0,0.0,0.5
C.Brooks,MIN,0.0,1.0,0.0,0.0
C.Brown,TB,1.0,5.0,3.0,0.2
C.Hubbard,CHI,1.0,3.0,1.0,0.33333334
C.McCaffrey,LA,0.0,2.0,0.0,0.0
C.Rodriguez,CLE,0.0,1.0,0.0,0.0
C.Skattebo,DAL,1.0,4.0,2.0,0.25
C.Williams,CAR,2.0,3.0,1.0,0.6666667
D.Achane,LV,0.0,3.0,0.0,0.0
D.Henry,IND,3.0,6.0,2.0,0.5
D.Lock,NE,0.0,1.0,0.0,0.0
D.Montgomery,BUF,2.0,5.0,3.0,0.4
D.Singletary,DAL,0.0,1.0,0.0,0.0
D.Swift,CAR,3.0,6.0,3.0,0.5
D.Watson,JAX,0.0,2.0,0.0,0.0
E.Demercado,NYG,0.0,1.0,0.0,0.0
E.Johnson,DEN,0.0,1.0,0.0,0.0
G.Holani,NE,0.0,2.0,0.0,0.0
G.Smith,TEN,0.0,1.0,0.0,0.0
J.Allen,HOU,2.0,1.0,1.0,2.0
J.Burrow,TB,0.0,4.0,0.0,0.0
J.Cook,HOU,0.0,2.0,0.0,0.0
J.Croskey-Merritt,PHI,1.0,1.0,1.0,1.0
J.Daniels,PHI,0.0,2.0,0.0,0.0
J.Dart,DAL,0.0,1.0,0.0,0.0
J.Gibbs,NO,2.0,8.0,5.0,0.25
J.Herbert,ARI,0.0,3.0,0.0,0.0
J.Love,LAC,1.0,3.0,1.0,0.33333334
J.Love,MIN,0.0,1.0,0.0,0.0
J.Mason,GB,1.0,4.0,1.0,0.25
J.Taylor,BAL,2.0,5.0,3.0,0.4
J.Williams,NYG,1.0,3.0,3.0,0.33333334
K.Allen,PHI,0.0,3.0,1.0,0.0
K.Miller,DET,1.0,2.0,0.0,0.5
K.Mitchell,ARI,0.0,2.0,0.0,0.0
K.Monangai,CAR,1.0,1.0,0.0,1.0
K.Sadiq,TEN,1.0,1.0,1.0,1.0
K.Walker,DEN,1.0,3.0,1.0,0.33333334
K.Williams,SF,1.0,4.0,2.0,0.25
L.Jackson,IND,1.0,1.0,1.0,1.0
M.Lloyd,MIN,0.0,1.0,0.0,0.0
M.Stafford,SF,0.0,1.0,1.0,0.0
M.Washington,MIA,0.0,1.0,0.0,0.0
M.Willis,LV,1.0,1.0,0.0,1.0
O.Hampton,ARI,1.0,2.0,0.0,0.5
P.Mahomes,DEN,1.0,5.0,0.0,0.2
Q.Judkins,JAX,0.0,2.0,1.0,0.0
R.Dowdle,ATL,0.0,1.0,0.0,0.0
R.Rivers,SF,0.0,2.0,0.0,0.0
R.White,PHI,0.0,1.0,0.0,0.0
S.Barkley,WAS,0.0,2.0,0.0,0.0
S.Perine,TB,0.0,1.0,0.0,0.0
S.Vaki,NO,0.0,1.0,0.0,0.0
T.Allgeier,LAC,0.0,3.0,1.0,0.0
T.Bigsby,WAS,0.0,1.0,0.0,0.0
T.Etienne,DET,0.0,1.0,0.0,0.0
T.Shough,DET,0.0,1.0,0.0,0.0
